aglomerado,suscetiveis,leitos_uti,leitos_atendimento,data,taxa_ocupacao,perc_atendimento,perc_uti,perc_mortalidade,perc_nao_detectados,inf_prob,act_rate,dias_rec,tm,regiao,mse
Guaranta do Norte,35016,0,48,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Peixoto de Azevedo,1e+100
Ipiranga do Norte,7667,0,0,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Sinop,1e+100
Jaciara,27776,0,60,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0299377683769351,4.81895446117929,10.9224483631137,3.6,Rondonopolis,9.21428571428571
Jangada,8409,0,0,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.026373877,8.203336524,8.88223358,3.6,Baixada Cuiabana,19.5714285714286
Jauru,8793,0,37,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0276,7.683,8.088,3.6,Pontes e Lacerda,1e+100
Juina,40997,16,129,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Juina,1e+100
Juscimeira,11221,0,33,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0336,6.822,8.9133,3.6,Rondonopolis,1e+100
Lambari do Oeste,6121,0,0,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Caceres,1e+100
Lucas do Rio Verde,65534,10,101,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0286893103762688,5.72185329165578,15.2082312380045,3.6,Sinop,124.142857142857
Luciara,2077,0,0,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Sao Felix do Araguaia,1e+100
Matupa,16566,0,44,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.027908568,7.806058271,7.511047218,3.6,Peixoto de Azevedo,1e+100
Mirassol do Oeste,27739,0,90,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Caceres,0.357142857142857
Nobres,15336,0,41,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Diamantino,1e+100
Nossa Senhora do Livramento,13216,0,16,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Baixada Cuiabana,1e+100
Nova Lacerda,6640,0,6,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Pontes e Lacerda,1e+100
Nova Monte Verde,9178,0,13,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Alta Floresta,1e+100
Nova Mutum,45378,0,37,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.02176095,4.107524021,8.302583818,3.6,Sinop,5
Nova Olimpia,20301,0,50,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Tangara da Serra,1e+100
Nova Ubirata,11982,0,0,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Sinop,1e+100
Nova Xavantina,21374,0,34,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Barra do Garcas,1e+100
Novo Mundo,9178,0,0,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Peixoto de Azevedo,1e+100
Pedra Preta,17626,0,31,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.033660158,5.827907827,12.74171193,3.6,Rondonopolis,1e+100
Peixoto de Azevedo,34976,0,56,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0286287442031665,8.22046198217086,7.42207048624913,3.6,Peixoto de Azevedo,83.8571428571429
Pocone,32843,0,64,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Baixada Cuiabana,1e+100
Pontal do Araguaia,6711,0,0,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Barra do Garcas,1e+100
Ponte Branca,1576,0,21,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Barra do Garcas,1e+100
Pontes e Lacerda,45093,0,69,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.013621608,19.14677616,14.38822647,3.6,Pontes e Lacerda,5.85714285714286
Porto Alegre do Norte,12517,0,18,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Porto Alegre do Norte,1e+100
Poxoreu,16219,0,96,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0336,6.822,8.9133,3.6,Rondonopolis,1e+100
Primavera do Leste,62019,22,162,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0353578037560898,9.21435696610695,17.5556032145747,3.6,Rondonopolis,252.571428571429
Querencia,17479,0,31,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.016247766,4.597700013,0.862263047,3.6,Agua Boa,5.57142857142857
