"aglomerado","suscetiveis","leitos_uti","leitos_atendimento","data","taxa_ocupacao","perc_atendimento","perc_uti","perc_mortalidade","perc_nao_detectados","inf_prob","act_rate","dias_rec","tm","regiao","mse"
"Cuiaba",612547,419,1898,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.022949579,5.646002608,47.21198293,3.6,"Baixada Cuiabana",628.928571428571
"Curvelandia",5219,0,0,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Caceres",1e+100
"Denise",9462,0,0,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.041736166,3.559643653,0.983200816,3.6,"Tangara da Serra",239.2142857
"Dom Aquino",8178,0,20,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.033660158,5.827907827,12.74171193,3.6,"Rondonopolis",1e+100
"Guaranta do Norte",35016,0,48,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.0297272026462277,10.1275091665913,13.5391494509569,3.6,"Peixoto de Azevedo",3.07142857142857
"Guiratinga",15141,0,22,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.029629965,5.792212078,17.39054258,3.6,"Rondonopolis",172.8571429
"Ipiranga do Norte",7667,0,0,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Sinop",1e+100
"Itanhanga",6737,0,0,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.026663023,6.941391743,8.402639483,3.6,"Sinop",53.85714286
"Jaciara",27776,0,60,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.069645977,4.153498272,10.90377979,3.6,"Rondonopolis",195.714285714286
"Jangada",8409,0,0,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.00527970543883949,0.933804104551713,18.1507345862352,3.6,"Baixada Cuiabana",9.5
"Jauru",8793,0,37,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.0276,7.683,8.088,3.6,"Pontes e Lacerda",1e+100
"Juara",34974,0,65,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.036980711,5.277084777,14.43647743,3.6,"Juara",1e+100
"Juina",40997,16,129,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Juina",1e+100
"Juscimeira",11221,0,33,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.0282975761311413,3.46042180258558,9.85913878536159,3.6,"Rondonopolis",1.64285714285714
"Lambari do Oeste",6121,0,0,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Caceres",1e+100
"Lucas do Rio Verde",65534,10,101,2020-05-31,0.058,0.2,0.01,0.005,0.6,0.0119234148231955,8.08614123015784,21.6196696234194,3.6,"Sinop",27.1428571428571
