"aglomerado","suscetiveis","leitos_uti","leitos_atendimento","data","taxa_ocupacao","perc_atendimento","perc_uti","perc_mortalidade","perc_nao_detectados","inf_prob","act_rate","dias_rec","tm","regiao","mse"
"Jangada",8409,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.012584206830873,0.855074682217944,11.6957744062364,3.6,"Baixada Cuiabana",9.64285714285714
"Jauru",8793,0,37,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0276,7.683,8.088,3.6,"Pontes e Lacerda",1e+100
"Juara",34974,0,65,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.00558654048564478,7.13270609891254,16.5705392778682,3.6,"Juara",1.5
"Juina",40997,16,129,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0106056940655426,7.8787222227787,11.5158393501029,3.6,"Juina",2.42857142857143
"Juruena",15865,0,19,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.018541782,3.794934788,11.29147061,3.6,"Juina",1.357142857
"Juscimeira",11221,0,33,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0298640021578535,4.63770868959959,9.53764352089347,3.6,"Rondonopolis",2.57142857142857
"Lambari do Oeste",6121,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0398246355736144,3.87395004791337,8.9409319039392,3.6,"Caceres",1.78571428571429
"Lucas do Rio Verde",65534,10,101,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.00189166415015425,58.2734101118249,36.7066211125976,3.6,"Sinop",289.428571428571
"Luciara",2077,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Sao Felix do Araguaia",1e+100
"Marcelandia",10499,0,11,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0292694041049033,4.45672868176706,10.3612398820504,3.6,"Colider",28.2857142857143
"Matupa",16566,0,44,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0099245775926293,4.94939209811047,27.3750312567451,3.6,"Peixoto de Azevedo",182.642857142857
