"Dia Juliano","Previsao","Limite inferior (95%)","Limite superior (95%)","Aglomerado"
"185",6057.54771759675,4525.02852082103,6920.32590606288,"Baixada Cuiabana"
"186",6314.52914171749,4610.64268325644,7265.53063707536,"Baixada Cuiabana"
"172",188.138660758725,178.506472884181,194.028028447821,"Barra do Garcas"
"173",199.886478603901,186.138213818085,208.320690992517,"Barra do Garcas"
"174",211.822074439268,193.853964525034,223.258884240465,"Barra do Garcas"
"175",223.940333853537,201.652139573377,238.46739330937,"Barra do Garcas"
"176",236.236487535487,209.53122811938,253.937986484076,"Barra do Garcas"
"177",248.706075044926,217.489788413437,269.663046285605,"Barra do Garcas"
"178",261.344913655079,225.526442849213,285.635498853731,"Barra do Garcas"
"179",274.149071390625,233.639873489118,301.848754061534,"Barra do Garcas"
"180",287.11484356363,241.828818009185,318.296654365422,"Barra do Garcas"
"181",300.238732246369,250.092066014483,334.973430828334,"Barra do Garcas"
"182",313.517428226191,258.428455682965,351.873665080955,"Barra do Garcas"
"183",326.947795070721,266.836870701313,368.992256235126,"Barra do Garcas"
"184",340.52685499749,275.316237461138,386.32439195574,"Barra do Garcas"
"185",354.251776294525,283.865522487986,403.865523046925,"Barra do Garcas"
"186",368.119862080565,292.483730079052,421.611341025737,"Barra do Garcas"
"172",282.522841269562,268.522440439287,295.497350875008,"Caceres"
"173",306.072363390138,288.177242886452,324.763333408683,"Caceres"
"174",330.684894122419,308.54904716044,355.583963934097,"Caceres"
"175",356.370319935615,328.848474885174,387.976109008727,"Caceres"
"176",383.138286414486,349.874222596923,421.956159677319,"Caceres"
"177",410.998211758374,371.631667104213,457.540062075388,"Caceres"
"178",439.959299120866,394.126080519653,494.743345034953,"Caceres"
"179",470.030547922287,417.362634966995,533.581145079964,"Caceres"
"180",501.220764248685,441.346406962624,574.068229137453,"Caceres"
"181",533.538570435395,466.082381501512,616.21901524048,"Caceres"
"182",566.992413920302,491.5754558742,660.047591457951,"Caceres"
"183",601.590575440904,517.830443238443,705.567733252529,"Caceres"
"184",637.341176640014,544.852075966569,752.792919439768,"Caceres"
"185",674.25218713697,572.645008787372,801.736346898088,"Caceres"
"186",712.331431114484,601.213821739377,852.410944159496,"Caceres"
"172",137.169181560383,121.709325902408,153.818496956404,"Colider"
"173",154.912496841464,130.681444835001,183.974039841591,"Colider"
"174",174.091991197144,140.04743358039,217.499245228761,"Colider"
"175",194.750236751027,149.813468109632,254.523352755114,"Colider"
"176",216.928907212675,159.985656059991,295.172229454683,"Colider"
"177",240.66884028899,170.570039225496,339.56865013635,"Colider"
"178",266.010092934502,181.57259589665,387.832540202192,"Colider"
"179",292.991990563268,192.999243061895,440.081187649282,"Colider"
"180",321.653171125369,204.855838482093,496.429429510468,"Colider"
"181",352.031624782214,217.148182648136,556.989816885545,"Colider"
"182",384.164729783445,229.882020630789,621.872761881882,"Colider"
"183",418.089285044802,243.063043830956,691.186669147014,"Colider"
"184",453.841539843919,256.696891637776,765.038054182797,"Colider"
"185",491.457220984827,270.789153001284,843.531650244403,"Colider"
"186",530.971557728292,285.345367925698,926.770505321576,"Colider"
"172",126.677383245584,121.486976754206,130.13166291961,"Diamantino"
"173",133.563665407841,126.456965977322,137.866847418496,"Diamantino"
"174",140.539070345126,131.47540175557,146.568684282649,"Diamantino"
"175",147.601280953384,136.541333947098,155.590191960789,"Diamantino"
"176",154.748125182902,141.65385737248,164.742069650689,"Diamantino"
"177",161.977561966863,146.812108509258,174.02057860924,"Diamantino"
"178",169.287668970197,152.015262511454,183.422235508274,"Diamantino"
"179",176.676631867839,157.262530514476,192.943785649629,"Diamantino"
"180",184.142734916345,162.553157191523,202.58217989479,"Diamantino"
"181",191.684352625792,167.886418532375,212.334554677421,"Diamantino"
"182",199.299942372967,173.261619819433,222.198214592989,"Diamantino"
"183",206.988037823996,178.67809377926,232.170617157014,"Diamantino"
"184",214.747243056393,184.135198890691,242.249359399489,"Diamantino"
"185",222.576227288266,189.632317833044,252.432166022967,"Diamantino"
"186",230.473720136775,195.168856059971,262.716878899372,"Diamantino"
"172",27.4241004825982,25.99794979839,29.1998738888657,"Juara"
"173",29.5160978561376,27.2047084922896,31.856136311062,"Juara"
"174",31.6497412694352,28.4261147150016,34.5736928386477,"Juara"
"175",33.8236759980669,29.661875811027,37.3502789245332,"Juara"
"176",36.0366567825627,30.9117137967177,40.1838346967101,"Juara"
"177",38.2875341363062,32.1753642085734,43.0724766604539,"Juara"
"178",40.5752429220835,33.4525750727288,46.0144745335103,"Juara"
"179",42.8987927367804,34.7431059798185,49.0082320826812,"Juara"
"180",45.2572597530078,36.0467272518519,52.052271119902,"Juara"
"181",47.6497797463225,37.3632191897342,55.1452180220156,"Juara"
"182",50.0755420959688,38.6923713917342,58.2857922876001,"Juara"
"183",52.5337845916194,40.0339821345815,61.4727967537873,"Juara"
"184",55.0237889124827,41.3878578100329,64.7051091776381,"Juara"
"185",57.544876671232,42.7538124107188,67.9816749482318,"Juara"
"186",60.0964059354796,44.1316670599,71.3015007426243,"Juara"
"172",91.8999933526839,85.0352374037984,97.1191189786082,"Juina"
"173",95.6278680815081,87.6640850259988,101.984513112007,"Juina"
"174",99.4200811030624,90.3330617023053,106.969148353065,"Juina"
"175",103.278205142614,93.0421706955946,112.073040129594,"Juina"
"176",107.203593735963,95.7914152209216,117.296203512681,"Juina"
"177",111.197398821647,98.5807984469041,122.638653232851,"Juina"
"178",115.260592682208,100.248867137292,128.100403695164,"Juina"
"179",119.393990886517,100.913033876003,133.681468993321,"Juina"
"180",123.598274359678,101.448231117388,139.381862922878,"Juina"
"181",127.874009620295,101.879247080791,145.201598993628,"Juina"
"182",132.221666778315,102.226197289191,151.140690441237,"Juina"
"183",136.641635211248,102.505372163616,157.199150238173,"Juina"
"184",141.134237017389,102.72994315448,163.376991103998,"Juina"
"185",145.699738436462,102.910546300738,169.674225515069,"Juina"
"186",150.338359466087,103.05576155535,176.090865713685,"Juina"
"172",278.826321954044,251.817453557412,309.465529870851,"Peixoto de Azevedo"
"173",293.084715323124,262.629551470614,335.600487382421,"Peixoto de Azevedo"
