"aglomerado","suscetiveis","leitos_uti","leitos_atendimento","data","taxa_ocupacao","perc_atendimento","perc_uti","perc_mortalidade","perc_nao_detectados","inf_prob","act_rate","dias_rec","tm","regiao","mse","i_msa","ers_msa"
"Pontes e Lacerda",45093,0,69,NA,0.058,0.2,0.01,0.005,0.6,0.024041681,9.251814022,19.27673719,3.6,"Pontes e Lacerda",11.21428571,"pontes e lacerda","pontes e lacerda"
"Porto Alegre do Norte",12517,0,18,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Porto Alegre do Norte",1e+100,"porto alegre do norte","porto alegre do norte"
"Porto Esperidiao",12017,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.009065261,3.417739283,33.08135546,3.6,"Caceres",5.071428571,"porto esperidiao","caceres"
"Poxoreu",16219,0,96,NA,0.058,0.2,0.01,0.005,0.6,0.0336,6.822,8.9133,3.6,"Rondonopolis",1e+100,"poxoreu","rondonopolis"
"Primavera do Leste",62019,22,162,NA,0.058,0.2,0.01,0.005,0.6,0.010792288,9.96414484,61.90580714,3.6,"Rondonopolis",16.64285714,"primavera do leste","rondonopolis"
"Querencia",17479,0,31,NA,0.058,0.2,0.01,0.005,0.6,0.01675045,4.572354043,0.923854503,3.6,"Agua Boa",12.71428571,"querencia","agua boa"
"Ribeirao Cascalheira",10206,0,32,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Agua Boa",1e+100,"ribeirao cascalheira","agua boa"
"Rio Branco",5156,0,18,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Caceres",1e+100,"rio branco","caceres"
"Rondolandia",4001,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Pontes e Lacerda",1e+100,"rondolandia","pontes e lacerda"
"Rondonopolis",232491,79,526,NA,0.058,0.2,0.01,0.005,0.6,0.035174527,3.959561107,31.99503328,3.6,"Rondonopolis",145.6428571,"rondonopolis","rondonopolis"
"Rosario Oeste",17151,0,63,NA,0.058,0.2,0.01,0.005,0.6,0.000808592,4.413414322,0.452892713,3.6,"Diamantino",244.5714286,"rosario oeste","diamantino"
"Santa Rita do Trivelato",3429,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Sinop",1e+100,"santa rita do trivelato","sinop"
"Santo Afonso",3146,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.041736166,3.559643653,0.983200816,3.6,"Tangara da Serra",239.2142857,"santo afonso","tangara da serra"
"Santo Antonio do Leverger",16628,0,20,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Baixada Cuiabana",1e+100,"santo antonio do leverger","baixada cuiabana"
"Sao Felix do Araguaia",11708,0,40,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Sao Felix do Araguaia",1e+100,"sao felix do araguaia","sao felix do araguaia"
