"aglomerado","suscetiveis","leitos_uti","leitos_atendimento","data","taxa_ocupacao","perc_atendimento","perc_uti","perc_mortalidade","perc_nao_detectados","inf_prob","act_rate","dias_rec","tm","regiao","mse"
"Caceres",94376,26,225,NA,0.058,0.2,0.01,0.005,0.6,0.00769795138853035,19.8618527901081,20.7947737475208,3.6,"Caceres",14.5
"Campinapolis",15980,0,24,NA,0.058,0.2,0.01,0.005,0.6,0.000920536,1.013761257,0.002561003,3.6,"Barra do Garcas",237.1428571
"Campo Novo do Parecis",35360,0,32,NA,0.058,0.2,0.01,0.005,0.6,0.00197529850512937,34.2037877324056,0.0106693382808845,3.6,"Tangara da Serra",288.142857142857
"Campo Verde",44041,0,67,NA,0.058,0.2,0.01,0.005,0.6,0.0902164795840947,1.65741063168416,11.4377849315455,3.6,"Rondonopolis",34.3571428571429
"Campos de Julio",6891,0,16,NA,0.058,0.2,0.01,0.005,0.6,0.0167132643670155,9.35120361243703,12.0152120219633,3.6,"Pontes e Lacerda",20.5
"Cana Brava do Norte",4743,0,9,NA,0.058,0.2,0.01,0.005,0.6,0.0339949065365346,5.04224063040862,19.6429974459849,3.6,"Porto Alegre do Norte",9.07142857142857
"Canarana",21579,0,48,NA,0.058,0.2,0.01,0.005,0.6,0.0266370926394606,2.70340297976529,11.6815441822361,3.6,"Agua Boa",4.42857142857143
"Chapada dos Guimaraes",19752,0,2,NA,0.058,0.2,0.01,0.005,0.6,0.0700988415408673,2.0759098650768,15.2733580311503,3.6,"Baixada Cuiabana",2.42857142857143
"Claudia",12149,0,23,NA,0.058,0.2,0.01,0.005,0.6,0.013002357,6.56836148,0.778223689,3.6,"Sinop",409.6428571
"Colider",33438,14,113,NA,0.058,0.2,0.01,0.005,0.6,0.0537969955399235,4.15019091047655,14.1354174871373,3.6,"Colider",22.2142857142857
"Colniza",38582,0,31,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Juina",1e+100
"Comodoro",20763,0,42,NA,0.058,0.2,0.01,0.005,0.6,0.00354057593037665,25.3362583912378,9.5247376567241,3.6,"Pontes e Lacerda",3.57142857142857
"Confresa",30933,0,53,NA,0.058,0.2,0.01,0.005,0.6,0.0280760398932043,3.56088655192148,8.38798571886097,3.6,"Porto Alegre do Norte",278.071428571429
"Conquista do Oeste",4038,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0192632796809368,0.0505648832739826,65.9699407622189,3.6,"Pontes e Lacerda",0
"Cotriguacu",19750,0,33,NA,0.058,0.2,0.01,0.005,0.6,0.022829473879599,6.25587170174789,18.3593997053653,3.6,"Juina",1.21428571428571
"Cuiaba",612547,419,1898,NA,0.058,0.2,0.01,0.005,0.6,0.0119170246613514,6.91796239851674,62.200091072435,3.6,"Baixada Cuiabana",1421.07142857143
"Curvelandia",5219,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Caceres",1.71428571428571
"Denise",9462,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.041736166,3.559643653,0.983200816,3.6,"Tangara da Serra",239.2142857
"Diamantino",22041,0,46,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Diamantino",1e+100
"Dom Aquino",8178,0,20,NA,0.058,0.2,0.01,0.005,0.6,0.0361303587244149,6.28710781292785,10.1048616521012,3.6,"Rondonopolis",2
"Feliz Natal",14192,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.016811648,6.61415328,0.605459625,3.6,"Sinop",43.92857143
"Figueiropolis do Oeste",3494,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.006687072,21.07375913,19.56885525,3.6,"Pontes e Lacerda",14.28571429
"Gaucha do Norte",7648,0,17,NA,0.058,0.2,0.01,0.005,0.6,0.084144217,1.842648379,68.39961682,3.6,"Agua Boa",0.642857143
"General Carneiro",5540,0,15,NA,0.058,0.2,0.01,0.005,0.6,0.000681687,0.571260861,0.004080071,3.6,"Barra do Garcas",425.4285714
"Guaranta do Norte",35016,0,48,NA,0.058,0.2,0.01,0.005,0.6,0.031336536475665,5.17920340050389,15.7130672034187,3.6,"Peixoto de Azevedo",104
"Guiratinga",15141,0,22,NA,0.058,0.2,0.01,0.005,0.6,0.0376820635726595,6.41554018443662,20.4460934926421,3.6,"Rondonopolis",2.42857142857143
"Ipiranga do Norte",7667,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Sinop",1e+100
