;municipio;cod_ibge;classificacao_epidemiologica;infectados_n;recuperados_n;obitos_n;r_025;r_500;r_975;r_mm7;n_va;p_va;ia_cat;iv_cat;risco;to_uti
45;General Carneiro;5103908;0.5;1,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;8,496219951996114;0,759
46;Gloria D'Oeste;5103957;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
47;Guaranta do Norte;5104104;1;1,0;27;0;0,459693163799671;0,7875493604479771;1,2435684941312801;1,0800972833699498;0,776638849871932;0,776638849871932;Moderado;Alto;45,41130885342853;0,759
48;Guiratinga;5104203;0.5;1,0;2;0;;;;1,0;;0,0;Muito baixo;Alto;45,41130885342853;0,759
49;Indiavai;5104500;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
50;Ipiranga do Norte;5104526;0.5;0,0;5;0;;;;1,0;;0,0;Muito baixo;Alto;49,116203253476876;0,759
51;Itanhanga;5104542;0.5;0,0;1;0;;;;1,0;;0,0;Muito baixo;Alto;26,750949236775607;0,759
52;Itauba;5104559;0.5;1,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;8,496219951996114;0,759
53;Itiquira;5104609;0;1,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;8,496219951996114;0,759
54;Jaciara;5104807;0;1,0;48;40;3,93451533660367;5,234430452413321;6,79345506588495;1,58978349958826;0,46017316017316;0,46017316017316;Baixo;Alto;93,3074496797714;0,759
55;Jangada;5104906;0;1,0;8;1;0,0562264847827606;1,53936033578226;8,19236501915484;1,09029715346256;-0,9285714285714292;-0,9285714285714292;Baixo;Alto;93,3074496797714;0,759
56;Jauru;5105002;0.5;0,0;1;1;;;;1,0;;0,0;Muito baixo;Alto;93,3074496797714;0,759
57;Juara;5105101;0;1,0;2;1;;;;1,0;;0,0;Muito baixo;Alto;93,3074496797714;0,759
58;Juina;5105150;0;1,0;11;2;0,599788579188855;1,54453281203567;3,17841436220895;1,1593510014438;;0,0;Baixo;Alto;93,3074496797714;0,759
59;Juruena;5105176;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
60;Juscimeira;5105200;0;1,0;9;0;0,49391727159160204;1,1705131449152602;2,29192171000839;1,4755111334130502;1,27857142857143;1,27857142857143;Baixo;Alto;45,41130885342853;0,759
61;Lambari D'Oeste;5105234;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
62;Lucas do Rio Verde;5105259;1;1,0;65;5;0,649777883098824;0,8875043346463729;1,17719897506622;1,14479806719643;0,764438468935962;0,764438468935962;Moderado;Alto;93,3074496797714;0,759
63;Luciara;5105309;0.5;0,0;1;0;;;;1,0;;0,0;Muito baixo;Alto;26,750949236775607;0,759
64;Marcelandia;5105580;0;1,0;6;0;-999,0;-999,0;-999,0;-999,0;;0,0;Muito baixo;Alto;45,41130885342853;0,759
65;Matupa;5105606;0;1,0;8;0;0,122998571561425;0,531631516412445;1,4363444387123998;0,492216283435807;;0,0;Muito baixo;Alto;45,41130885342853;0,759
66;Mirassol D'Oeste;5105622;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
67;Nobres;5105903;0.5;1,0;3;0;;;;1,0;;0,0;Muito baixo;Alto;45,41130885342853;0,759
68;Nortelandia;5106000;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
69;Nossa Senhora de Livramento;5106109;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
70;Nova Bandeirantes;5106158;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
71;Nova Brasilandia;5106208;0.5;1,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;8,496219951996114;0,759
72;Nova Canaa do Norte;5106216;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
73;Nova Guarita;5108808;0.5;0,0;4;0;;;;1,0;;0,0;Muito baixo;Alto;49,116203253476876;0,759
74;Nova Lacerda;5106182;0.5;1,0;4;0;;;;1,0;;0,0;Muito baixo;Alto;45,41130885342853;0,759
75;Nova Marilandia;5108857;0.5;1,0;2;0;;;;1,0;;0,0;Muito baixo;Alto;45,41130885342853;0,759
76;Nova Maringa;5108907;0.5;1,0;2;0;;;;1,0;;0,0;Muito baixo;Alto;45,41130885342853;0,759
77;Nova Monte Verde;5108956;0.5;1,0;1;0;;;;1,0;;0,0;Muito baixo;Alto;21,583822932682303;0,759
78;Nova Mutum;5106224;1;1,0;74;4;0,9072060684119729;1,1603572666448898;1,4567413838103602;1,4352474109566102;1,78234068747116;1,78234068747116;Moderado;Alto;93,3074496797714;0,759
79;Nova Nazare;5106174;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
80;Nova Olimpia;5106232;0.5;1,0;5;0;;;;1,0;;0,0;Muito baixo;Alto;45,41130885342853;0,759
81;Nova Santa Helena;5106190;0.5;1,0;2;1;;;;1,0;;0,0;Muito baixo;Alto;93,3074496797714;0,759
82;Nova Ubirata;5106240;0;1,0;16;0;0,852741161073923;1,8935154748371201;3,5609167742795895;1,15792399855007;0,799058084772371;0,799058084772371;Baixo;Alto;45,41130885342853;0,759
83;Nova Xavantina;5106257;0.5;1,0;0;1;;;;1,0;;0,0;Muito baixo;Alto;93,3074496797714;0,759
84;Novo Horizonte do Norte;5106273;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
85;Novo Mundo;5106265;0;1,0;14;0;0,448055195081819;1,50962305528094;3,60431879079573;1,02966070965202;;0,0;Baixo;Alto;45,41130885342853;0,759
86;Novo Santo Antonio;5106315;0;0,0;10;0;0,39575160210140703;1,13861113027339;2,4965562699044197;1,5161009836884298;;0,0;Baixo;Alto;46,07495891202851;0,759
87;Novo Sao Joaquim;5106281;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
88;Paranaita;5106299;0.5;1,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;8,496219951996114;0,759
89;Paranatinga;5106307;0;1,0;2;0;;;;1,0;;0,0;Muito baixo;Alto;45,41130885342853;0,759
90;Pedra Preta;5106372;0;1,0;10;1;0,50940525435885;0,9096776613766671;1,4795379730923102;1,12787359847927;;0,0;Muito baixo;Alto;93,3074496797714;0,759
91;Peixoto de Azevedo;5106422;1;1,0;32;1;2,1469263223632;3,5556473830388597;5,47776093916307;1,2170404222098001;0,0523809523809524;0,0523809523809524;Moderado;Alto;93,3074496797714;0,759
92;Planalto da Serra;5106455;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
93;Pocone;5106505;0.5;1,0;3;3;0,647858207443208;1,21915220823537;2,05644959805731;2,04905131647855;5,52380952380952;5,52380952380952;Baixo;Alto;93,3074496797714;0,759
94;Pontal do Araguaia;5106653;0;1,0;5;0;;;;1,0;;0,0;Muito baixo;Alto;45,41130885342853;0,759
95;Ponte Branca;5106703;0.5;0,0;0;1;;;;1,0;;0,0;Muito baixo;Alto;93,3074496797714;0,759
96;Pontes E Lacerda;5106752;1;0,0;0;0;;;;1,0;;0,0;Moderado;Alto;13,742846760176988;0,759
97;Porto Alegre do Norte;5106778;0.5;1,0;2;0;;;;1,0;;0,0;Muito baixo;Alto;45,41130885342853;0,759
98;Porto Dos Gauchos;5106802;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
99;Porto Esperidiao;5106828;0;1,0;1;2;1,04732241035908;1,48152387142658;2,02189672681402;2,2345691827593397;;0,0;Baixo;Alto;93,3074496797714;0,759
100;Porto Estrela;5106851;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
101;Poxoreu;5107008;0.5;1,0;2;0;;;;1,0;;0,0;Muito baixo;Alto;45,41130885342853;0,759
102;Primavera do Leste;5107040;1;1,0;121;4;1,08448591264804;1,3436732322678402;1,6412077795658202;1,10514044020496;0,0762464930194522;0,0762464930194522;Moderado;Alto;93,3074496797714;0,759
103;Querencia;5107065;0;1,0;25;2;0,8478168507439069;1,19329700421914;1,62196535816881;1,5913045760188897;1,6952690166975901;1,6952690166975901;Baixo;Alto;93,3074496797714;0,759
104;Reserva do Cabacal;5107156;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
105;Ribeirao Cascalheira;5107180;0.5;1,0;4;0;0,547495418603055;1,15328815765449;2,09708176547267;2,57625263166043;;0,0;Baixo;Alto;45,41130885342853;0,759
106;Ribeiraozinho;5107198;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
107;Rio Branco;5107206;0.5;0,0;3;0;;;;1,0;;0,0;Muito baixo;Alto;49,116203253476876;0,759
108;Rondolandia;5107578;0.5;0,0;2;0;;;;1,0;;0,0;Muito baixo;Alto;49,116203253476876;0,759
109;Rondonopolis;5107602;1;1,0;76;12;1,13435173421576;1,3083428517984599;1,49927898774899;1,27749982737;0,504851134200192;0,504851134200192;Moderado;Alto;93,3074496797714;0,759
110;Rosario Oeste;5107701;0;1,0;38;2;0,5637725405694279;1,2518593901484099;2,35422797471585;1,19484773077943;0,401360544217687;0,401360544217687;Baixo;Alto;93,3074496797714;0,759
111;Salto do Ceu;5107750;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
112;Santa Carmem;5107248;0.5;1,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;8,496219951996114;0,759
113;Santa Cruz do Xingu;5107743;0.5;1,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;8,496219951996114;0,759
114;Santa Rita do Trivelato;5107768;0.5;1,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;8,496219951996114;0,759
115;Santa Terezinha;5107776;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
116;Santo Afonso;5107263;0.5;1,0;1;0;;;;1,0;;0,0;Muito baixo;Alto;21,583822932682303;0,759
117;Santo Antonio de Leverger;5107800;0.5;0,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;13,742846760176988;0,759
118;Santo Antonio do Leste;5107792;0.5;1,0;0;0;;;;1,0;;0,0;Muito baixo;Alto;8,496219951996114;0,759
