Data,ERS,Municipio,Infectados,Recuperados,Obitos,Total
10/04/2020,Alta Floresta,Nova Monte Verde,1,0,0,1
10/04/2020,Sinop,Nova Mutum,1,0,0,1
10/04/2020,Rondonopolis,Primavera do Leste,1,0,0,1
10/04/2020,Rondonopolis,Rondonopolis,12,0,0,12
10/04/2020,Caceres,Sao Jose dos Quatro Marcos,2,0,0,2
10/04/2020,Sinop,Sinop,11,0,0,11
10/04/2020,Tangara da Serra,Tangara da Serra,5,0,0,5
10/04/2020,Sinop,Uniao do Sul,1,0,0,1
10/04/2020,Baixada Cuiabana,Varzea Grande,6,0,0,6
11/04/2020,Alta Floresta,Alta Floresta,1,0,0,1
11/04/2020,Juina,Aripuana,2,0,0,2
11/04/2020,Caceres,Caceres,1,0,1,2
11/04/2020,Tangara da Serra,Campo Novo do Parecis,1,0,0,1
11/04/2020,Agua Boa,Canarana,1,0,0,1
11/04/2020,Baixada Cuiabana,Cuiaba,64,0,0,64
11/04/2020,Caceres,Lambari do Oeste,1,0,0,1
11/04/2020,Sinop,Lucas do Rio Verde,0,0,1,1
11/04/2020,Alta Floresta,Nova Monte Verde,1,0,0,1
11/04/2020,Sinop,Nova Mutum,1,0,0,1
11/04/2020,Rondonopolis,Primavera do Leste,1,0,0,1
11/04/2020,Rondonopolis,Rondonopolis,17,0,0,17
11/04/2020,Caceres,Sao Jose dos Quatro Marcos,2,0,0,2
11/04/2020,Sinop,Sinop,11,0,0,11
11/04/2020,Tangara da Serra,Tangara da Serra,5,0,0,5
11/04/2020,Sinop,Uniao do Sul,1,0,0,1
11/04/2020,Baixada Cuiabana,Varzea Grande,6,0,0,6
12/04/2020,Alta Floresta,Alta Floresta,1,0,0,1
12/04/2020,Juina,Aripuana,2,0,0,2
12/04/2020,Caceres,Caceres,1,0,1,2
12/04/2020,Tangara da Serra,Campo Novo do Parecis,1,0,0,1
12/04/2020,Agua Boa,Canarana,1,0,0,1
12/04/2020,Baixada Cuiabana,Cuiaba,64,0,0,64
12/04/2020,Caceres,Lambari do Oeste,1,0,0,1
12/04/2020,Sinop,Lucas do Rio Verde,0,0,1,1
12/04/2020,Alta Floresta,Nova Monte Verde,1,0,0,1
12/04/2020,Sinop,Nova Mutum,1,0,0,1
12/04/2020,Rondonopolis,Primavera do Leste,1,0,0,1
12/04/2020,Rondonopolis,Rondonopolis,19,0,0,19
12/04/2020,Caceres,Sao Jose dos Quatro Marcos,2,0,0,2
12/04/2020,Sinop,Sinop,11,0,0,11
12/04/2020,Tangara da Serra,Tangara da Serra,5,0,0,5
12/04/2020,Sinop,Uniao do Sul,1,0,0,1
12/04/2020,Baixada Cuiabana,Varzea Grande,6,0,0,6
13/04/2020,Alta Floresta,Alta Floresta,1,0,0,1
13/04/2020,Juina,Aripuana,2,0,0,2
13/04/2020,Caceres,Caceres,1,0,1,2
13/04/2020,Tangara da Serra,Campo Novo do Parecis,1,0,0,1
13/04/2020,Agua Boa,Canarana,1,0,0,1
13/04/2020,Baixada Cuiabana,Cuiaba,72,0,0,72
13/04/2020,Caceres,Lambari do Oeste,1,0,0,1
13/04/2020,Sinop,Lucas do Rio Verde,0,0,1,1
13/04/2020,Alta Floresta,Nova Monte Verde,1,0,0,1
13/04/2020,Sinop,Nova Mutum,1,0,0,1
13/04/2020,Rondonopolis,Primavera do Leste,1,0,0,1
13/04/2020,Rondonopolis,Rondonopolis,21,0,1,22
13/04/2020,Caceres,Sao Jose dos Quatro Marcos,2,0,0,2
13/04/2020,Sinop,Sinop,11,0,0,11
13/04/2020,Tangara da Serra,Tangara da Serra,5,0,0,5
13/04/2020,Sinop,Uniao do Sul,1,0,0,1
13/04/2020,Baixada Cuiabana,Varzea Grande,6,0,0,6
