"aglomerado","suscetiveis","leitos_uti","leitos_atendimento","data","taxa_ocupacao","perc_atendimento","perc_uti","perc_mortalidade","perc_nao_detectados","inf_prob","act_rate","dias_rec","tm","regiao","mse"
"Canarana",21579,0,48,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0289011166071665,3.01123429074003,9.90057992300924,3.6,"Agua Boa",32.2142857142857
"Castanheira",8729,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.021835574,3.896483616,12.13136724,3.6,"Juina",1.928571429
"Chapada dos Guimaraes",19752,0,2,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0998214607805918,2.16505265084863,12.1720733453277,3.6,"Baixada Cuiabana",8.5
"Claudia",12149,0,23,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.013002357,6.56836148,0.778223689,3.6,"Sinop",409.6428571
"Colider",33438,14,113,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0558808513608763,4.09275081863241,15.0468501948153,3.6,"Colider",100.214285714286
"Colniza",38582,0,31,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Juina",1e+100
"Comodoro",20763,0,42,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.00351720355220364,27.8206018664244,9.85703409230429,3.6,"Pontes e Lacerda",5.42857142857143
"Confresa",30933,0,53,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0358122697404833,3.7036386548321,8.27043305441916,3.6,"Porto Alegre do Norte",558.785714285714
"Conquista do Oeste",4038,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0227340390605912,0.0557119530117292,83.8947759279118,3.6,"Pontes e Lacerda",0.142857142857143
"Cotriguacu",19750,0,33,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0214410155406071,6.19663095334048,19.6952774912994,3.6,"Juina",1.64285714285714
"Cuiaba",612547,419,1898,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0348766533733118,2.28034169960486,60.7323509235004,3.6,"Baixada Cuiabana",2996.5
"Curvelandia",5219,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Caceres",3.57142857142857
"Denise",9462,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.041736166,3.559643653,0.983200816,3.6,"Tangara da Serra",239.2142857
"Diamantino",22041,0,46,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0374703218317395,4.88991625624129,12.7606283395061,3.6,"Diamantino",6.5
"Dom Aquino",8178,0,20,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0246125686233949,11.3417043239207,11.8141626929644,3.6,"Rondonopolis",5.07142857142857
"Feliz Natal",14192,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.016811648,6.61415328,0.605459625,3.6,"Sinop",43.92857143
