"cod_ibge","municipio","classificacao_epidemiologica","ers","infectados_n","recuperados_n","obitos_n","r_025","r_500","r_975","r_mm7","n_va","p_va"
5106372,"Pedra Preta","TRANSMISSAO LOCAL","Rondonopolis","21","1","0",1.01361466410599,1.67870517506682,2.58618041828795,1.89139734762598,NA,NA
5106422,"Peixoto de Azevedo","TRANSMISSAO COMUNITARIA","Peixoto de Azevedo","8","27","0",0.681048777940399,1.32317828284783,2.280889406005,1.36650286838923,0.718367346938775,1.22675903169785
5106455,"Planalto da Serra","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5106505,"Pocone","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5106653,"Pontal do Araguaia","TRANSMISSAO LOCAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5106703,"Ponte Branca","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5106752,"Pontes E Lacerda","TRANSMISSAO COMUNITARIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5106778,"Porto Alegre do Norte","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5106802,"Porto Dos Gauchos","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5106828,"Porto Esperidiao","TRANSMISSAO LOCAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5106851,"Porto Estrela","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5107008,"Poxoreu","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5107040,"Primavera do Leste","TRANSMISSAO COMUNITARIA","Rondonopolis","134","43","1",0.922920730060851,1.17616087821877,1.47198373910983,1.28699610908678,0.522598826853366,1.20500697391058
5107065,"Querencia","TRANSMISSAO LOCAL","Agua Boa","10","17","1",0.690123423687622,1.29868771635107,2.19060902670861,1.8621895405112,5.45238095238095,1.75276054341365
5107107,"Sao Jose Dos Quatro Marcos","TRANSMISSAO LOCAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5107156,"Reserva do Cabacal","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5107180,"Ribeirao Cascalheira","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5107198,"Ribeiraozinho","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5107206,"Rio Branco","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5107248,"Santa Carmem","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5107263,"Santo Afonso","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
