"municipio";"cod_ibge";"classificacao_epidemiologica";"infectados_n";"recuperados_n";"obitos_n";"r_025";"r_500";"r_975";"r_mm7";"n_va";"p_va";"ia_cat";"iv_cat";"risco";"to_uti"
"Ipiranga do Norte";5104526;"CASOS ISOLADOS";"0";"5";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Itanhanga";5104542;"CASOS ISOLADOS";"0";"1";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Itauba";5104559;"CASOS ISOLADOS";"1";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Itiquira";5104609;"TRANSMISSAO LOCAL";"9";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Jaciara";5104807;"TRANSMISSAO LOCAL";"12";"48";"40";3,93451533660367;5,23443045241332;6,79345506588495;1,58978349958826;0,46017316017316;0,46017316017316;"Baixo";"Alto";"Alto";0,759
"Jangada";5104906;"TRANSMISSAO LOCAL";"1";"8";"1";0,0562264847827606;1,53936033578226;8,19236501915484;1,09029715346256;-0,928571428571429;-0,928571428571429;"Baixo";"Alto";"Alto";0,759
"Jauru";5105002;"CASOS ISOLADOS";"0";"1";"1";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Juara";5105101;"TRANSMISSAO LOCAL";"4";"2";"1";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Juina";5105150;"TRANSMISSAO LOCAL";"5";"11";"2";0,599788579188855;1,54453281203567;3,17841436220895;1,1593510014438;;;"Baixo";"Alto";"Alto";0,759
"Juruena";5105176;"CASOS ISOLADOS";"0";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Juscimeira";5105200;"TRANSMISSAO LOCAL";"6";"9";"0";0,493917271591602;1,17051314491526;2,29192171000839;1,47551113341305;1,27857142857143;1,27857142857143;"Baixo";"Alto";"Alto";0,759
"Lambari D'Oeste";5105234;"CASOS ISOLADOS";"0";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Lucas do Rio Verde";5105259;"TRANSMISSAO COMUNITARIA";"100";"65";"5";0,649777883098824;0,887504334646373;1,17719897506622;1,14479806719643;0,764438468935962;0,764438468935962;"Moderado";"Alto";"Alto";0,759
"Luciara";5105309;"CASOS ISOLADOS";"0";"1";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Marcelandia";5105580;"TRANSMISSAO LOCAL";"5";"6";"0";-999;-999;-999;-999;;;"Muito baixo";"Alto";"Alto";0,759
"Matupa";5105606;"TRANSMISSAO LOCAL";"21";"8";"0";0,122998571561425;0,531631516412445;1,4363444387124;0,492216283435807;;;"Muito baixo";"Alto";"Alto";0,759
"Mirassol D'Oeste";5105622;"CASOS ISOLADOS";"0";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Nobres";5105903;"CASOS ISOLADOS";"6";"3";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Nortelandia";5106000;"CASOS ISOLADOS";"0";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
