"municipio","cod_ibge","classificacao_epidemiologica","infectados_n","recuperados_n","obitos_n","r_025","r_500","r_975","r_mm7","n_va","p_va","ia_cat","iv_cat","risco"
"Aripuana",5101407,"TRANSMISSAO LOCAL","3","33","1",0.557569123939366,1.02043655851787,1.68847339343666,0.97794054628909,0.0294117647058824,0.0294117647058824,"Baixo","Alto","Alto"
"Barao de Melgaco",5101605,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Barra do Bugres",5101704,"CASOS ISOLADOS","5","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Barra do Garcas",5101803,"TRANSMISSAO COMUNITARIA","41","51","7",0.397556691881209,0.727589396652328,1.20391152917771,1.12221576666964,0.791687584124559,0.791687584124559,"Moderado","Alto","Alto"
"Bom Jesus do Araguaia",5101852,"TRANSMISSAO LOCAL","13","2","0",0.934689199965885,1.88456946883457,3.33007025738302,1.57924446313314,NA,NA,"Baixo","Alto","Alto"
"Brasnorte",5101902,"CASOS ISOLADOS","2","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Caceres",5102504,"TRANSMISSAO COMUNITARIA","26","23","5",0.841744266857148,1.373644581564,2.09329786530852,1.21802640463718,0.081085581085581,0.081085581085581,"Moderado","Alto","Alto"
"Campinapolis",5102603,"CASOS ISOLADOS","3","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Campo Novo do Parecis",5102637,"TRANSMISSAO LOCAL","33","23","0",1.52458466639316,2.25035336380427,3.17667382483658,1.29651098573469,0.418650793650794,0.418650793650794,"Baixo","Alto","Alto"
"Campo Verde",5102678,"TRANSMISSAO COMUNITARIA","55","59","0",0.878762306279823,1.16909448379345,1.51729799748567,1.24791790189601,0.417544490480596,0.417544490480596,"Moderado","Alto","Alto"
"Campos de Julio",5102686,"TRANSMISSAO LOCAL","8","6","0",0.235142165941005,0.676524077010348,1.48336897584687,1.21598618116774,NA,NA,"Muito baixo","Alto","Alto"
"Canabrava do Norte",5102694,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Canarana",5102702,"TRANSMISSAO LOCAL","12","11","0",0.537024909256144,1.19246615792405,2.24253395387631,0.936845048824499,-0.257509157509157,-0.257509157509157,"Baixo","Alto","Alto"
"Carlinda",5102793,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Castanheira",5102850,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Chapada Dos Guimaraes",5103007,"TRANSMISSAO LOCAL","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Claudia",5103056,"CASOS ISOLADOS","2","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Cocalinho",5103106,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Colider",5103205,"TRANSMISSAO LOCAL","11","7","2",0.754727443646451,1.42026082091129,2.39567690938858,1.46985312702286,NA,NA,"Baixo","Alto","Alto"
"Colniza",5103254,"CASOS ISOLADOS","2","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Comodoro",5103304,"TRANSMISSAO LOCAL","4","3","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
